SPECIES,bins,size,Source
Pheidole navigans,,600,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole obscurithorax,,10000,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole pelor,,,
Pheidole pilifera,600-800,700,"Muscedere, Mario L., and James FA Traniello. ""Division of labor in the hyperdiverse ant genus Pheidole is associated with distinct subcaste-and age-related patterns of worker brain organization."" PLoS One 7.2 (2012): e31618."
Pheidole tetra,,,
Pheidole tysoni,,,
Pogonomyrmex badius,,2568,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pogonomyrmex badius,,4300,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pogonomyrmex badius,,4736,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pogonomyrmex badius,,4500,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Polyergus longicornis,,133,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201"
Polyergus lucidus,,41,"Joshua R. King , James C. Trager, Natural history of the slave making ant, Polyergus lucidus, sensu lato in northern Florida and its three Formica pallidefulva group hosts, Journal of Insect Science, Volume 7, Issue 1, 2007, 42, https://doi.org/10.1673/031.007.4201"
Polyergus ruber,,1000,antwiki
Ponera exotica,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Ponera pennsylvanica,,7,Doug Booher Collection
Ponera pennsylvanica,,14,Doug Booher Collection
Ponera pennsylvanica,,5,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Prenolepis imparis,,1500,"Talbot, M. 1957b. Populations of ants in a Missouri woodland. Insectes Sociaux 4:375-384."
Prenolepis imparis,,3790,"Tschinkel, W. R. 1987. Insectes Soc. 34:143–164."
Prenolepis imparis,,1600,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Prenolepis imparis,,3370,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Proceratium chickasaw,,,
Proceratium crassicorne,,30,Antwiki
Proceratium croceum,,30,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Proceratium creek,,,
Proceratium pergandei,,28,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Proceratium pergandei,,25,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Proceratium silaceum,,28,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pseudomyrmex ejectus,,80,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pseudomyrmex gracilis,,80,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pseudomyrmex pallidus,,30,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis abdita,,,
Solenopsis carolinensis,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis geminata,,28000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis globularia,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis invicta,,100000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Solenopsis invicta,,220000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Solenopsis invicta,,150000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis molesta,took maximum from Hayes 1920,1436,"Hayes, W. P. 1920. Solenopsis molesta Say (Hym.): a biological study. Kansas State Agricultural College, Agricultural Experiment Station. Manhattan, KS. Technical bulletin No. 7. 55 p."
Solenopsis pergandei,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis picta,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis richteri,"up to 200,000",200000,Joe McGowen website
Solenopsis tennesseensis,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis texana,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis tonsa,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis xyloni,,,
Stenamma brevicorne,70-105,105,"Antwiki,  Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stenamma diecki,,41,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stenamma foveolocephalum,,,
Stenamma impar,,54,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stenamma meridionale,,15,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stenamma schmittii,,121,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stigmatomma pallipes,,15,Antwiki sources
Strumigenys abdita,,,
Strumigenys angulata,,,
Strumigenys apalachicolensis,,332,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys archboldi,,,
Strumigenys bimarginata,,,
Strumigenys boltoni,,,
Strumigenys bunki,,40,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys carolinensis,,,
Strumigenys cloydi,,50,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys clypeata,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys clypeata,,62,Doug Booher Collection
Strumigenys creightoni,,34,Doug Booher Collection
Strumigenys creightoni,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys deyrupi,,,
Strumigenys dietrichi,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys dietrichi,,80,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys eggersi,,33,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys filirrhina,,,
Strumigenys hexamera,,35,"Terayama, M., Kubota, S., Eguchi, K. 2014. Encyclopedia of Japanese Ants. Asakura Shoten: Tokyo, 278 pp."
Strumigenys hexamera,,50,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys hyalina,,,
Strumigenys inopina,,,
Strumigenys laevinasis,,14,Doug Booher Collection
Strumigenys laevinasis,,,
Strumigenys lanuginosa,,,
Strumigenys louisianae,,118,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys margaritae,,200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys margaritae,,250,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys membranifera,,350,"Ito, F., Touyama, Y., Gotoh, A., Kitahiro, S., Billen, J. 2010. Thelytokous parthenogenesis by queens in the dacetine ant Pyramica membranifera (Hymenoptera: Formicidae). Naturwissenschaften, 97: 725-728."
Strumigenys membranifera,,250,Antwiki
Strumigenys membranifera,,93,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys memorialis,,53,Antwiki
Strumigenys metazytes,,,
Strumigenys missouriensis,,48,Doug Booher Collection
Strumigenys missouriensis,,50,Doug Booher Collection
Strumigenys ornata,,20,"Wesson L. G., and R. G. Wesson. 1939. Notes on Strumigenys from southern Ohio, with descriptions of six new species. Psyche (Cambridge) 46: 91-112."
Strumigenys pergandei,,120,Antwiki
Strumigenys pilinasis,,56,Doug Booher Collection
Strumigenys pilinasis,,11,Doug Booher Collection
Strumigenys pilinasis,,21,Doug Booher Collection
Strumigenys pilinasis,,,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,34,Doug Booher Collection
Strumigenys pilinasis,,15,Doug Booher Collection
Strumigenys pilinasis,,32,Doug Booher Collection
Strumigenys pilinasis,,22,Doug Booher Collection
Strumigenys pilinasis,,,Doug Booher Collection
Strumigenys pilinasis,,22,Doug Booher Collection
Strumigenys pilinasis,,24,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,24,Doug Booher Collection
Strumigenys pilinasis,,45,Doug Booher Collection
Strumigenys pilinasis,,43,Doug Booher Collection
Strumigenys pilinasis,,17,Doug Booher Collection
Strumigenys pilinasis,,30,Doug Booher Collection
Strumigenys pilinasis,,28,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,49,Doug Booher Collection
Strumigenys pilinasis,,15,Doug Booher Collection
Strumigenys pilinasis,,43,Doug Booher Collection
Strumigenys pilinasis,,11,Doug Booher Collection
Strumigenys pilinasis,,8,Doug Booher Collection
Strumigenys pilinasis,,18,Doug Booher Collection
Strumigenys pilinasis,,12,Doug Booher Collection
Strumigenys pilinasis,,12,Doug Booher Collection
Strumigenys pilinasis,,27,Doug Booher Collection
Strumigenys pilinasis,,28,Doug Booher Collection
Strumigenys pilinasis,,55,Doug Booher Collection
Strumigenys pilinasis,,3,Doug Booher Collection
Strumigenys pilinasis,,30,Doug Booher Collection
Strumigenys pilinasis,,7,Doug Booher Collection
Strumigenys pilinasis,,5,Doug Booher Collection
Strumigenys pilinasis,,16,Doug Booher Collection
Strumigenys pilinasis,,52,Doug Booher Collection
Strumigenys pulchella,,33,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Strumigenys reflexa,,,
Strumigenys rogeri,,,
Strumigenys rohweri,75-100,100,Antwiki
Strumigenys rostrata,,11,Doug Booher Collection
Strumigenys rostrata,,5,Doug Booher Collection
Strumigenys rostrata,,30,Doug Booher Collection
Strumigenys rostrata,,27,Doug Booher Collection
Strumigenys rostrata,,56,Doug Booher Collection
Strumigenys rostrata,,19,Doug Booher Collection
Strumigenys silvestrii,,,
Strumigenys talpa,,60,"Wesson L. G., and R. G. Wesson. 1939. Notes on Strumigenys from southern Ohio, with descriptions of six new species. Psyche (Cambridge) 46: 91-112."
Strumigenys talpa,,8,Doug Booher Collection
Strumigenys talpa,,121,Doug Booher Collection
Strumigenys talpa,,25,Doug Booher Collection
Strumigenys talpa,,20,Doug Booher Collection
Strumigenys talpa,,50,King
Strumigenys wrayi,,,
Tapinoma litorale,,20,Jack Longino via Antwiki
Tapinoma melanocephalum,,550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Tapinoma sessile,,300,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Technomyrmex difficilis,,730400,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Temnothorax allardycei,,60,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Temnothorax ambiguus,<100,50,"Beckers R., Goss, S., Deneubourg, J.L., Pasteels, J.M. 1989. Colony size, communication and ant foraging Strategy. Psyche 96: 239-256 (doi:10.1155/1989/94279)."
Temnothorax americanus,8.61 to 30,19,"Kramer, B.H., Scharf, I. & Foitzik, S. The role of per-capita productivity in the evolution of small colony sizes in ants. Behav Ecol Sociobiol 68, 41–53 (2014). https://doi.org/10.1007/s00265-013-1620-8"
Temnothorax bradleyi,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax curvispinosus,,48,Doug Booher Collection
Temnothorax curvispinosus,,136,Doug Booher Collection
Temnothorax curvispinosus,,161,Doug Booher Collection
Temnothorax curvispinosus,,179,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,53,Doug Booher Collection
Temnothorax curvispinosus,,76,Doug Booher Collection
Temnothorax curvispinosus,,110,Doug Booher Collection
Temnothorax curvispinosus,,38,Doug Booher Collection
Temnothorax curvispinosus,,31,Doug Booher Collection
Temnothorax curvispinosus,,67,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,35,Doug Booher Collection
Temnothorax curvispinosus,,67,Doug Booher Collection
Temnothorax curvispinosus,,7,Doug Booher Collection
Temnothorax curvispinosus,,6,Doug Booher Collection
Temnothorax curvispinosus,,141,Doug Booher Collection
Temnothorax curvispinosus,,14,Doug Booher Collection
Temnothorax curvispinosus,,28,Doug Booher Collection
Temnothorax curvispinosus,,37,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,71,Doug Booher Collection
Temnothorax curvispinosus,,18,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,30,Doug Booher Collection
Temnothorax curvispinosus,,45,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,5,Doug Booher Collection
Temnothorax curvispinosus,,95,Doug Booher Collection
Temnothorax curvispinosus,,46,Doug Booher Collection
Temnothorax curvispinosus,,162,Doug Booher Collection
Temnothorax curvispinosus,,40,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,25,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,27,Doug Booher Collection
Temnothorax curvispinosus,,50,Doug Booher Collection
Temnothorax curvispinosus,,101,Doug Booher Collection
Temnothorax curvispinosus,,73,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,29,Doug Booher Collection
Temnothorax curvispinosus,,83,Doug Booher Collection
Temnothorax curvispinosus,,46,Doug Booher Collection
Temnothorax curvispinosus,,75,Doug Booher Collection
Temnothorax curvispinosus,,84,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Temnothorax curvispinosus,,50,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Temnothorax duloticus,,12,"Beckers R., Goss, S., Deneubourg, J.L., Pasteels, J.M. 1989. Colony size, communication and ant foraging Strategy. Psyche 96: 239-256 (doi:10.1155/1989/94279)."
Temnothorax longispinosus,,65,Beckers et al. 1989
Temnothorax minutissimus,workerless parasite,,
Temnothorax palustris,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax pergandei,,60,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Temnothorax pergandei,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax schaumii,,100,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Temnothorax smithi,,31,"Smith, M. R. 1929. Descriptions of five new North American ants, with biological notes. Ann. Entomol. Soc. Am. 22: 543-551 (page 547, [Junior secondary homonym of Macromischa wheeleri Mann, 1920: 422.] )"
Temnothorax smithi,,40,"Smith, M. R. 1929. Descriptions of five new North American ants, with biological notes. Ann. Entomol. Soc. Am. 22: 543-551 (page 547, [Junior secondary homonym of Macromischa wheeleri Mann, 1920: 422.] )"
Temnothorax texanus,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax tuscaloosae,,55,"Guénard, B., Shik, J.Z., Booher, D. et al. Extreme polygyny in the previously unstudied subtropical ant Temnothorax tuscaloosae with implications for the biogeographic study of the evolution of polygyny. Insect. Soc. 63, 543–551 (2016)."
Tetramorium bicarinatum,,500,Doug Booher Collection
Tetramorium lanuginosum,,,
Tetramorium simillimum,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Tetramorium tsushimae,millions possible,,
Trachymyrmex septentrionalis,,194,"Seal, J. N., W. R. Tschinkel. 2006. Ann. Entomol. Soc. Am. 99:673–682."
Trachymyrmex septentrionalis,,800,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Trachymyrmex septentrionalis,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Wasmannia auropunctata,,839,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Wasmannia auropunctata,,800,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
